Team, Record, GP, G, A, P, Sh, Sh %, SOG, SOG %, CK, PKM, PKA, GA, Avg, S, S %
PCM  ,  3 - 8 - 1  ,  12  ,  18  ,  10  ,  46  ,  124  ,  0.145  ,  60  ,  0.300  ,  20  ,  1  ,  1  ,  26  ,  2.660  ,  86  ,  0.768  
Chariton  ,  4 - 10 - 0  ,  14  ,  20  ,  6  ,  46  ,  112  ,  0.179  ,  64  ,  0.313  ,  37  ,  2  ,  3  ,  47  ,  3.357  ,  141  ,  0.750  
Cedar Rapids Washington  ,  4 - 11 - 0  ,  15  ,  13  ,  14  ,  40  ,  153  ,  0.085  ,  97  ,  0.134  ,  57  ,  0  ,  0  ,  29  ,  1.966  ,  114  ,  0.797  
Indianola  ,  4 - 13 - 0  ,  17  ,  20  ,  5  ,  45  ,  163  ,  0.123  ,  144  ,  0.139  ,  44  ,  2  ,  2  ,  50  ,  3.125  ,  269  ,  0.843  
Maquoketa  ,  4 - 13 - 0  ,  17  ,  20  ,  9  ,  49  ,  181  ,  0.110  ,  122  ,  0.164  ,  23  ,  2  ,  13  ,  43  ,  2.606  ,  206  ,  0.827  
Sioux City West  ,  4 - 13 - 0  ,  17  ,  26  ,  14  ,  66  ,  233  ,  0.112  ,  168  ,  0.155  ,  34  ,  5  ,  10  ,  43  ,  2.544  ,  149  ,  0.776  
Benton  ,  4 - 14 - 0  ,  18  ,  16  ,  9  ,  41  ,  165  ,  0.097  ,  102  ,  0.157  ,  38  ,  4  ,  5  ,  32  ,  2.286  ,  181  ,  0.850  
Cedar Falls  ,  4 - 14 - 0  ,  18  ,  15  ,  6  ,  36  ,  151  ,  0.099  ,  96  ,  0.156  ,  30  ,  1  ,  1  ,  43  ,  2.642  ,  131  ,  0.753  
Central DeWitt  ,  4 - 14 - 0  ,  18  ,  19  ,  7  ,  45  ,  199  ,  0.095  ,  146  ,  0.130  ,  51  ,  3  ,  5  ,  75  ,  4.071  ,  189  ,  0.716  
Logan-Magnolia  ,  3 - 12 - 1  ,  16  ,  10  ,  4  ,  24  ,  66  ,  0.152  ,  41  ,  0.244  ,  24  ,  3  ,  6  ,  67  ,  5.820  ,  128  ,  0.656  
